x,pi,Li,ratio1,ratio2
2,1,0,inf,0.346574
2,1,0,inf,0.346574
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
3,2,1.11842,1.78823,0.732408
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
4,2,1.92242,1.04035,0.693147
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
5,3,2.58942,1.15856,0.965663
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
6,3,3.17706,0.94427,0.89588
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
7,4,3.71189,1.07762,1.11195
8,4,4.20855,0.950445,1.03972
8,4,4.20855,0.950445,1.03972
8,4,4.20855,0.950445,1.03972
8,4,4.20855,0.950445,1.03972
8,4,4.20855,0.950445,1.03972
8,4,4.20855,0.950445,1.03972
8,4,4.20855,0.950445,1.03972
8,4,4.20855,0.950445,1.03972
9,4,4.67607,0.855418,0.976544
9,4,4.67607,0.855418,0.976544
9,4,4.67607,0.855418,0.976544
9,4,4.67607,0.855418,0.976544
9,4,4.67607,0.855418,0.976544
9,4,4.67607,0.855418,0.976544
9,4,4.67607,0.855418,0.976544
9,4,4.67607,0.855418,0.976544
10,4,5.12044,0.781184,0.921034
10,4,5.12044,0.781184,0.921034
10,4,5.12044,0.781184,0.921034
10,4,5.12044,0.781184,0.921034
10,4,5.12044,0.781184,0.921034
10,4,5.12044,0.781184,0.921034
10,4,5.12044,0.781184,0.921034
11,5,5.54585,0.901576,1.08995
11,5,5.54585,0.901576,1.08995
11,5,5.54585,0.901576,1.08995
11,5,5.54585,0.901576,1.08995
11,5,5.54585,0.901576,1.08995
11,5,5.54585,0.901576,1.08995
11,5,5.54585,0.901576,1.08995
12,5,5.95538,0.839576,1.03538
12,5,5.95538,0.839576,1.03538
12,5,5.95538,0.839576,1.03538
12,5,5.95538,0.839576,1.03538
12,5,5.95538,0.839576,1.03538
12,5,5.95538,0.839576,1.03538
13,6,6.35138,0.944676,1.18382
13,6,6.35138,0.944676,1.18382
13,6,6.35138,0.944676,1.18382
13,6,6.35138,0.944676,1.18382
13,6,6.35138,0.944676,1.18382
14,6,6.73566,0.890781,1.13102
14,6,6.73566,0.890781,1.13102
14,6,6.73566,0.890781,1.13102
14,6,6.73566,0.890781,1.13102
14,6,6.73566,0.890781,1.13102
15,6,7.10966,0.843922,1.08322
15,6,7.10966,0.843922,1.08322
15,6,7.10966,0.843922,1.08322
15,6,7.10966,0.843922,1.08322
15,6,7.10966,0.843922,1.08322
16,6,7.47455,0.802724,1.03972
16,6,7.47455,0.802724,1.03972
16,6,7.47455,0.802724,1.03972
16,6,7.47455,0.802724,1.03972
16,6,7.47455,0.802724,1.03972
17,7,7.8313,0.893849,1.16662
17,7,7.8313,0.893849,1.16662
17,7,7.8313,0.893849,1.16662
17,7,7.8313,0.893849,1.16662
18,7,8.18071,0.855671,1.12403
18,7,8.18071,0.855671,1.12403
18,7,8.18071,0.855671,1.12403
18,7,8.18071,0.855671,1.12403
19,8,8.52346,0.938586,1.23976
19,8,8.52346,0.938586,1.23976
19,8,8.52346,0.938586,1.23976
19,8,8.52346,0.938586,1.23976
20,8,8.86014,0.902921,1.19829
20,8,8.86014,0.902921,1.19829
20,8,8.86014,0.902921,1.19829
21,8,9.19123,0.870395,1.15982
21,8,9.19123,0.870395,1.15982
21,8,9.19123,0.870395,1.15982
21,8,9.19123,0.870395,1.15982
22,8,9.51719,0.840584,1.12402
22,8,9.51719,0.840584,1.12402
22,8,9.51719,0.840584,1.12402
23,9,9.83838,0.914784,1.22693
23,9,9.83838,0.914784,1.22693
23,9,9.83838,0.914784,1.22693
24,9,10.1552,0.88625,1.19177
24,9,10.1552,0.88625,1.19177
24,9,10.1552,0.88625,1.19177
25,9,10.4678,0.85978,1.1588
25,9,10.4678,0.85978,1.1588
25,9,10.4678,0.85978,1.1588
26,9,10.7766,0.835145,1.1278
