估计零点与真实零点的虚部比较 (前1000个),,,,,虚部误差较大的零点的编号 (前76个),,,各个零点的计算耗时 (前1000个),,,,前N个零点的计算总耗时,,,,
零点序号,估算零点虚部,真实零点虚部,虚部误差,,零点序号,虚部误差,,零点序号,估值计算耗时(秒),Python库计算耗时(秒),,测试对象,估计总耗时(秒),Python库总耗时(秒),(估计)平均每个零点耗时(秒),(库)平均每个零点耗时(秒)
1,14.13848705,14.13472514,0.0037619,,13,6.74510578,,1,1.14E-04,1.33E-02,,"前 1,000 个零点",0.0300703,132.106885,3.01E-05,0.13210688
2,21.02360154,21.02203964,0.0015619,,24,2.68971984,,2,3.10E-05,1.10E-02,,"前 2,000 个零点",0.0963906,693.6602473,4.82E-05,0.34683012
3,25.01142179,25.01085758,0.00056421,,40,20.7735668,,3,2.58E-05,9.67E-03,,"前 3,000 个零点",0.1542178,1256.559657,5.14E-05,0.41885322
4,30.42565207,30.42487613,0.00077595,,45,64.66111441,,4,4.66E-05,1.09E-02,,"前 5,000 个零点",0.2874122,,5.75E-05,
5,32.93564692,32.93506159,0.00058534,,63,0.8176283,,5,3.45E-05,9.91E-03,,"前 10,000 个零点",0.6844928,,6.84E-05,
6,37.5870963,37.58617816,0.00091814,,78,1.99586533,,6,2.71E-05,9.46E-03,,"前 20,000 个零点",1.6681128,,8.34E-05,
7,40.91894895,40.91871901,0.00022993,,82,1.56550734,,7,2.50E-05,1.04E-02,,"前 30,000 个零点",2.837457,,9.46E-05,
8,43.32770744,43.32707328,0.00063416,,93,25.6061763,,8,2.51E-05,1.01E-02,,"前 50,000 个零点",5.6442647,,1.13E-04,
9,48.00569877,48.00515088,0.00054789,,98,120.8342421,,9,2.61E-05,9.49E-03,,"前 100,000 个零点",14.4708547,,1.45E-04,
10,49.77401994,49.77383248,0.00018746,,114,0.93075101,,10,3.21E-05,1.06E-02,,,,,,
11,52.97078154,52.97032148,0.00046007,,125,0.97932742,,11,2.55E-05,7.95E-03,,,,,,
12,56.44644816,56.4462477,0.00020046,,164,1.01404779,,12,2.66E-05,9.48E-03,,使用的库," from mpmath import mp, zetazero",,,
13,52.60193822,59.347044,6.74510578,,205,0.89808282,,13,3.04E-05,9.71E-03,,迭代次数,固定为5,,,
14,60.83230145,60.83177852,0.00052293,,223,0.88307624,,14,2.92E-05,1.10E-02,,,,,,
15,65.11291147,65.11254405,0.00036742,,247,0.97733064,,15,2.58E-05,8.88E-03,,,,,,
16,67.07991389,67.07981053,0.00010336,,255,0.86695718,,16,2.73E-05,1.01E-02,,,,,,
17,69.54670423,69.54640171,0.00030252,,267,97.04257877,,17,4.37E-05,9.22E-03,,,,,,
18,72.06739099,72.06715767,0.00023332,,274,37.30088257,,18,2.90E-05,1.05E-02,,,,,,
19,75.70510036,75.7046907,0.00040966,,279,1.33960502,,19,4.28E-05,1.03E-02,,,,,,
20,77.14474432,77.14484007,0.00009574,,299,1.21607739,,20,2.72E-05,1.03E-02,,,,,,
21,79.33771863,79.33737502,0.00034361,,312,1.07158222,,21,2.57E-05,9.85E-03,,,,,,
22,82.91060016,82.91038085,0.0002193,,331,0.75778883,,22,2.68E-05,1.03E-02,,,,,,
23,84.7356516,84.73549298,0.00015862,,332,0.75818238,,23,3.19E-05,1.07E-02,,,,,,
24,84.73555477,87.42527461,2.68971984,,344,2.6878436,,24,2.82E-05,1.06E-02,,,,,,
25,88.8093245,88.80911121,0.0002133,,352,0.89449638,,25,2.83E-05,1.14E-02,,,,,,
26,92.49216526,92.49189927,0.00026599,,378,18.0870826,,26,3.31E-05,1.01E-02,,,,,,
27,94.65136012,94.65134404,0.00001608,,399,89.5088652,,27,2.81E-05,1.18E-02,,,,,,
28,95.87086391,95.87063423,0.00022968,,412,0.89985204,,28,2.62E-05,1.03E-02,,,,,,
29,98.83133521,98.83119422,0.00014099,,424,1.61581032,,29,3.04E-05,9.45E-03,,,,,,
30,101.3180481,101.317851,0.00019712,,425,0.84909325,,30,2.76E-05,1.25E-02,,,,,,
31,103.7257344,103.725538,0.00019638,,433,0.71687844,,31,3.20E-05,1.31E-02,,,,,,
32,105.4465875,105.4466231,0.00003552,,445,3.21610072,,32,2.75E-05,1.24E-02,,,,,,
33,107.1688688,107.1686112,0.00025764,,459,0.83960694,,33,3.25E-05,1.10E-02,,,,,,
34,111.0297627,111.0295355,0.0002272,,460,2.20384726,,34,2.83E-05,2.06E-02,,,,,,
35,111.8746444,111.8746592,0.00001475,,481,1.00734229,,35,2.81E-05,1.73E-02,,,,,,
36,114.3203894,114.3202209,0.00016849,,493,0.80000673,,36,2.78E-05,4.94E-02,,,,,,
37,116.2267704,116.2266803,0.00009012,,508,0.9701531,,37,3.11E-05,5.46E-02,,,,,,
38,118.7909576,118.7907829,0.00017476,,530,0.78319739,,38,2.76E-05,5.22E-02,,,,,,
39,121.370228,121.370125,0.00010302,,535,4.0340339,,39,3.16E-05,5.57E-02,,,,,,
40,143.7203961,122.9468293,20.7735668,,538,1.46649347,,40,2.71E-05,4.67E-02,,,,,,
41,124.2569547,124.2568186,0.00013612,,544,5.52978351,,41,2.70E-05,5.49E-02,,,,,,
42,127.5168641,127.5166839,0.00018022,,566,31.26038793,,42,2.78E-05,5.02E-02,,,,,,
43,129.5787155,129.5787042,0.00001125,,587,106.1945907,,43,2.78E-05,5.05E-02,,,,,,
44,131.0878532,131.0876885,0.00016462,,594,0.84355161,,44,3.10E-05,5.76E-02,,,,,,
45,198.1588516,133.4977372,64.66111441,,602,2.91028984,,45,2.85E-05,5.69E-02,,,,,,
46,134.7566604,134.7565098,0.00015068,,616,8.26526616,,46,2.88E-05,6.07E-02,,,,,,
47,138.116201,138.1160421,0.00015892,,630,0.73871397,,47,4.99E-05,5.37E-02,,,,,,
48,139.7362205,139.736209,0.00001159,,643,23.22502009,,48,3.26E-05,5.50E-02,,,,,,
49,141.1238013,141.1237074,0.00009391,,653,1.0470924,,49,8.65E-05,5.57E-02,,,,,,
50,143.1119661,143.1118458,0.0001203,,659,1.17935907,,50,3.89E-05,5.83E-02,,,,,,
51,146.0010918,146.0009825,0.00010931,,667,1.33286162,,51,3.92E-05,5.01E-02,,,,,,
52,147.4228315,147.4227653,0.00006613,,704,9.81052132,,52,4.07E-05,5.61E-02,,,,,,
53,150.051242,150.0535204,0.00227838,,727,39.9607543,,53,3.48E-05,5.65E-02,,,,,,
54,150.9252333,150.9252576,0.00002435,,732,19.75956956,,54,3.19E-05,5.67E-02,,,,,,
55,153.0248388,153.0246938,0.00014496,,741,1.04808711,,55,3.85E-05,5.73E-02,,,,,,
56,156.1129869,156.1129093,0.00007762,,756,1.10389068,,56,2.74E-05,5.94E-02,,,,,,
57,157.5976637,157.5975918,0.00007187,,779,2.69804452,,57,4.64E-05,5.52E-02,,,,,,
58,158.8500797,158.8499882,0.00009154,,794,3.06592784,,58,3.21E-05,5.89E-02,,,,,,
59,161.1890257,161.1889641,0.00006158,,801,0.71949071,,59,2.80E-05,5.33E-02,,,,,,
60,163.030823,163.0307097,0.00011327,,808,1.10540159,,60,3.42E-05,5.80E-02,,,,,,
61,165.5371283,165.5370692,0.0000591,,816,8.62879849,,61,2.81E-05,5.83E-02,,,,,,
62,167.1845509,167.18444,0.00011095,,823,0.72072754,,62,2.77E-05,5.14E-02,,,,,,
63,169.9121437,169.0945154,0.8176283,,831,6.34333587,,63,3.12E-05,6.45E-02,,,,,,
64,169.912136,169.9119765,0.00015952,,837,8.30267169,,64,3.43E-05,5.34E-02,,,,,,
65,173.4116724,173.4115365,0.00013591,,860,11.70998338,,65,3.01E-05,6.82E-02,,,,,,
66,174.7541712,174.7541915,0.00002031,,870,4.22562494,,66,2.99E-05,8.11E-02,,,,,,
67,176.4415563,176.4414343,0.00012199,,876,14.87798094,,67,3.14E-05,6.54E-02,,,,,,
68,178.3774321,178.3774078,0.00002435,,885,0.92951679,,68,2.84E-05,7.36E-02,,,,,,
69,179.9165777,179.916484,0.00009371,,899,1.1266283,,69,3.26E-05,8.22E-02,,,,,,
70,182.2071569,182.2070785,0.00007838,,900,0.9264666,,70,2.80E-05,6.91E-02,,,,,,
71,184.8746089,184.8744679,0.00014106,,939,1.06796881,,71,3.34E-05,8.19E-02,,,,,,
72,185.5987292,185.5987837,0.00005447,,943,3.75246538,,72,2.97E-05,8.42E-02,,,,,,
73,187.229018,187.2289226,0.00009543,,962,43.57665295,,73,2.74E-05,7.56E-02,,,,,,
74,189.4162348,189.4161587,0.0000761,,966,0.94209045,,74,2.83E-05,6.77E-02,,,,,,
75,192.0267535,192.0266564,0.00009709,,977,0.78962255,,75,2.73E-05,7.43E-02,,,,,,
76,193.0797342,193.0797266,0.00000759,,993,0.70859681,,76,2.73E-05,8.48E-02,,,,,,
